First Name,Surname,Middle Name,DoB,Age Last Birthday,Favourite Colour,Favourite Animal,Favourite Food,Gender,Password,Town,District,Postcode,eMail,Phone,Mobile,SCQF, Salary ,Website Visits last 30 days
Finley,MacAdam,,11/05/06,18,Red,Deer,Cranachan,M,YellowTrain7!,Pitlochry,Perth and Kinross,PH16 5AN,macaf06@gmail.com,01796 473931,07718 741544,5," £7,064.96 ",8
Lorna,Abernathy,Campbell,30/11/23,101,Yellow,Red Squirrel,Porridge,F,Operatecreate6021,Inverness,Highland,IV1 1ED,lorna23@outlook.com,01463 873081,07808 055258,6," £12,345.00 ",43
Tatum,Cathcart,,05/04/38,86,Purple,Pine Marten,Cock-a-leekie soup,M,Team47bought74,Motherwell,North Lanarkshire,ML1 1XE,short.77.brisket@icloud.com,01698 266633,07769 710746,10," £26,400.00 ",22
Ashley,Gilreath,Anderson,07/08/76,48,Grey,Puffin,Shortbread,NB,Horsesummer48,Aviemore,Highland,PH22 1ST,norestashley@yahoo.com,01479 810141,07463 744868,11," £33,020.00 ",26
Ayleen,Livingstone,,25/01/97,28,Green,Eagle,Haggis,F,Brother24enter,Arbroath,Angus,DD11 1RL,browneagle@flock.com,01241 430430,07300 847275,12," £41,896.00 ",17
Ellis,McCutcheon,Robertson,01/06/62,62,Blue,Otter,"Haggis, neeps 'n' tatties",M,Stop4479cat,Campbeltown,Argyll and Bute,PA28 6LF,ellistheotter@gmail.com,01586 554625,07836 538 718,6," £15,600.00 ",35
Davina,Nesbitt,,16/12/03,21,Azure,Highland Cow,Salmon,F,Both58chick,Edinburgh,City of Edinburgh,EH1 7TR,rabcnesbitt2@outlook.com,0131 556 5674,07752 505672,7," £16,800.00 ",19
Lesley,Sanderson,Stewart,06/08/94,30,Orains,Wildcat,Chipsteak supper,M,Stood7074character,Falkirk,Falkirk,FK2 7XJ,supercharge@icloud.com,01324 636728,07475 678742,8," £18,400.00 ",31
Lesley,Wilkie,,25/07/63,61,Gorm,Osprey,Stovies,F,Floor83whole26,Kelso,Scottish Borders,TD5 7HH,the familywilkie@gmail.com,01573 228026,07384 302045,9," £26,000.00 ",41
John,Yarrow,Munro,17/01/47,78,Purpaidh,Ptarmigan,Tablet,LBTQI,Part5129who,Stirling ,Stirling ,FK7 7SW,yarrowthemarrow@gmail.com,01786 346734,07282 568239,10," £26,048.00 ",34
