First Name,Last Name,Middle Initials,DOB,Age Last Birthday,Favorite Color,Favorite Animal,Favorite Food,Gender,Password,Town/City,State,State Code,Zip Code,eMail,Landline,Cell Phone,Education, Salary ,Website Visits last 30 days
Michael,Smith,J,6/5/45,79,Gray,Moose,Apple Pie,1,Pa$$w0rdMS,Palmer,Alaska,AK,99645,smithmj45@gmail.com,907-775-6622,907-319-6703,High School Diploma," $27,000.00 ",16
Hannah,Johnson,,11/23/01,23,Pink,Bighorn Sheep,Buffalo Wings,0,Pa$$w0rdHJ,Granby,Colorado,CO,80446,johnsonm01@outlook.com,970-524-5555,970-844-3539,Associate Degree," $78,260.80 ",12
Jacob,Brown,M,1/25/75,50,Blue,Fox,Cheeseburger,1,Pa$$w0rdJB,Kenton,Delaware,DE,19955,brownmm75@yahoo.com,302-399-1876,302-278-1947,High School Diploma," $18,620.00 ",7
Ashley,Williams,,11/19/07,17,Purple,Panther,Clam Chowder,0,Pa$$w0rdAW,Andover,Florida,FL,33179,williamsm07@hotmail.com,(305)654-2727,305-309-1054,High School Diploma," $22,080.00 ",28
Joshua,Wong,M,8/8/85,39,Yellow,Seal,Mac & Cheese,1,Pa$$w0rdJW,Whitmore Village,Hawaii,HI,96786,wongmm85@protonmail.com,(808) 307-3500,(808) 622-6340,Foundation Degree," $82,560.00 ",19
Emily,Miller,S,7/12/81,43,Green,Muskrat,Pizza,0,Pa$$w0rdEM,Cedar Rapids,Iowa,IA,52227,millerms81@mail.com,319-471-3533,319-363-8294,Bachelor Degree," $117,600.00 ",34
Tyler,Nelson,,1/20/93,32,Navy,Deer,Hot Dogs,1,Pa$$w0rdTN,Andover,Maine,ME,04216,nelsonm93@proton.me,(207) 475-0404,207-475-8295,Bachelor Degree," $98,000.00 ",27
Sarah,Garcia,T,6/7/01,23,Ebony,Bobcat,Grilled Cheese,0,Pa$$w0rdSG,Andover,New Hampshire,NH,03216,garciamt01@gmail.com, (603) 528-3488,603-267-3849,Master’s," $136,515.00 ",63
Austin,Anderson,,6/30/64,60,Mauve,Beaver,Fried Chicken,1,Pa$$w0rdAA,Salem,Oregon,OR,97301,andersonm64@yahoo.com,5035887272,503‑588‑6245,Doctorate," $170,900.00 ",23
Madison,Olson,O,4/10/44,80,Hazel,Elk,Biscuits 'n' Gravy,0,Pa$$w0rdMO,Leeds,Utah,UT,84746,olsonmo44@gmail.com,435-628-8320,435-267-4866,Foundation Degree," $78,000.00 ",36
